,K,MAE,RMSE,r2
57,62,18990.656580344265,29855.1806710835,0.8837947971407192
58,63,19596.931355174223,30751.14165147051,0.8767154502525926
59,64,19574.509359270367,30718.55825301916,0.8769765723575164
60,65,19619.110276144347,30680.488279355715,0.877281312993222
61,66,19499.854673227303,30499.39949900095,0.8787257093540499
62,67,19379.092343117067,30481.526688301066,0.8788678024698587
63,68,19488.970337594496,30519.76731029468,0.8785636788430519
64,69,19614.969147798198,30591.597127596695,0.8779913931248072
65,70,19626.2525149288,30608.20355007347,0.8778588942299629
66,71,19628.603881334835,30608.009923319834,0.8778604395484233
67,72,19614.447420721848,30621.55820462976,0.8777522882923912
68,73,19644.200735115173,30646.615304012954,0.8775521399973689
69,74,20116.859024030684,31244.043437622593,0.8727315861198506
70,75,20082.66375963802,31208.689570826,0.8730194416222404
71,76,19477.939814448408,30629.37755021428,0.8776898473712224
72,77,19501.036623994878,30718.39638702838,0.8769778688543359
73,78,19609.39785201563,30874.580355914397,0.8757237063450279
74,79,19563.01167249037,30825.115181843576,0.8761216015710527
75,80,19191.767446955022,30219.409918739533,0.8809421253842986
76,81,19185.674325093845,30245.64761634446,0.8807352940380928
77,82,19190.18025536196,30182.074175082187,0.8812361330008895
78,83,19211.844442918824,30208.886161049842,0.8810250335590446
79,84,19216.640145850222,30203.230174414763,0.8810695805722173
80,85,19318.27750116343,30248.39116897773,0.8807136562908936
81,86,19378.7113415166,30291.19522647541,0.8803758166909912
82,87,19486.725571836996,30358.81962091041,0.8798411040313543
83,88,19490.221539582693,30335.571366983306,0.880025064735961
84,89,19484.019965785203,30325.14203294891,0.8801075450406735
85,90,19470.888638777946,30331.296193627033,0.8800588783403368
86,91,19483.84611175883,30298.60576905959,0.8803172789849907
87,92,19455.969427473417,30255.085838372757,0.8806608487876828
88,93,19417.244338643406,30157.413482400585,0.8814301291258904
89,94,19249.296091020347,30055.517090743397,0.8822300273558716
90,95,19286.94003080005,30040.875823596307,0.8823447405140176
91,96,19294.982326220652,30044.47843934572,0.8823165194921562
92,97,19304.342809971855,30055.022751849425,0.8822339013733488
93,98,19297.154793776426,30215.53275768663,0.8809726737599022
94,99,19304.29460714795,30408.846851882125,0.879444766508786
95,100,19309.961941422876,30399.172563637523,0.8795214613313423
96,101,19326.71573678369,30350.997240394725,0.8799030173419097
97,102,19509.374986790725,30674.24129238978,0.8773312824711269
98,103,19543.88510958442,30724.181748517316,0.8769315256460128
99,104,19544.191456459685,30724.462926106487,0.8769292730714415
100,105,19556.64834116925,30749.45129990017,0.8767290034732853
101,106,19534.59545325792,30706.072363668154,0.8770765604311119
102,107,19534.595453258873,30706.072363666826,0.8770765604311226
103,108,19539.308304172475,30710.238608082713,0.8770432013071794
104,109,19585.391984518646,30770.636182533686,0.8765590894699282
105,110,19593.87409334612,30743.665639011626,0.8767753872009103
106,111,19593.592724757927,30758.525606430478,0.8766562370457005
107,112,19589.694601982374,30572.46641051273,0.8781439436635519
108,113,19599.862015070506,30588.24347466553,0.8780181424371861
109,114,19587.776197747342,30563.475932601945,0.8782156018074618
110,115,19583.097027648444,30560.906270415056,0.8782360792955635
111,116,19702.329221357755,30617.66619039539,0.8777833617991248
112,117,19700.45944976231,30549.99123161704,0.8783230414141486
113,118,19758.89872641223,30586.595161533078,0.8780312885912317
114,119,19758.827433107643,30576.12980007635,0.8781147387610305
